0,1,2,3,target
0.37454012,0.9507143,0.7319939,0.5986585,20.507038
0.15601864,0.15599452,0.058083612,0.8661761,13.8926935
0.601115,0.7080726,0.020584494,0.96990985,16.951513
0.83244264,0.21233912,0.18182497,0.1834045,12.81214
0.30424225,0.52475643,0.43194503,0.29122913,13.459762
0.6118529,0.13949387,0.29214466,0.36636186,12.357828
0.45606998,0.785176,0.19967379,0.5142344,14.438327
0.59241456,0.046450414,0.60754484,0.17052412,11.272085
0.06505159,0.94888556,0.965632,0.80839735,20.279318
0.30461377,0.09767211,0.684233,0.4401525,14.524663
0.12203824,0.4951769,0.03438852,0.9093204,14.878064
0.25877997,0.66252226,0.31171107,0.52006805,14.689425
0.54671025,0.18485446,0.96958464,0.77513283,17.932522
0.93949896,0.89482737,0.5979,0.9218742,22.526798
0.088492505,0.19598286,0.04522729,0.32533032,8.910396
0.3886773,0.27134904,0.8287375,0.35675332,16.311663
0.2809345,0.54269606,0.14092423,0.802197,14.529174
0.07455064,0.9868869,0.77224475,0.19871569,15.472282
0.005522117,0.81546146,0.7068573,0.7290072,16.719957
0.77127033,0.07404465,0.35846573,0.11586906,11.59613
0.86310345,0.6232981,0.33089802,0.06355835,15.093656
0.31098232,0.32518333,0.72960615,0.63755745,17.222685
0.88721275,0.47221494,0.119594246,0.7132448,17.40636
0.76078504,0.5612772,0.7709672,0.4937956,18.867216
0.52273285,0.42754102,0.025419127,0.107891425,9.949137
0.031429186,0.6364104,0.31435597,0.5085707,13.932344
0.9075665,0.24929222,0.41038293,0.75555116,16.52489
0.22879817,0.07697991,0.28975144,0.16122128,11.740974
0.92969763,0.80812037,0.6334038,0.8714606,20.220568
0.8036721,0.18657006,0.892559,0.5393422,18.749842
0.80744016,0.8960913,0.31800348,0.11005192,16.14997
0.22793517,0.42710778,0.81801474,0.8607306,20.476315
0.0069521307,0.5107473,0.417411,0.22210781,12.073861
0.119865365,0.33761516,0.9429097,0.32320294,16.076145
0.5187906,0.70301896,0.3636296,0.9717821,21.29894
0.9624473,0.2517823,0.4972485,0.30087832,14.568342
0.2848405,0.03688695,0.6095643,0.50267905,12.530925
0.05147875,0.27864647,0.9082659,0.23956189,12.367713
0.14489487,0.48945275,0.9856505,0.24205527,16.485792
0.67213553,0.7616196,0.23763755,0.72821635,15.737221
0.36778313,0.6323058,0.6335297,0.5357747,16.64255
0.09028977,0.8353025,0.32078007,0.1865185,13.772404
0.040775143,0.590893,0.6775644,0.01658783,13.1584215
0.51209307,0.22649577,0.6451728,0.17436643,14.13977
0.69093776,0.38673535,0.93672997,0.13752094,16.35082
0.34106636,0.11347352,0.92469364,0.87733936,19.643463
0.25794163,0.65998405,0.8172222,0.5552008,16.878761
0.52965057,0.24185228,0.09310277,0.8972158,14.728174
0.90041804,0.63310146,0.3390298,0.34920958,15.251407
0.72595567,0.8971103,0.88708645,0.7798755,22.711185
0.64203167,0.084139965,0.16162871,0.8985542,16.362522
0.60642904,0.009197052,0.10147154,0.66350174,13.795669
0.005061584,0.16080806,0.5487338,0.6918952,15.736951
0.65196127,0.22426932,0.71217924,0.23724909,13.65931
0.3253997,0.74649143,0.6496329,0.84922343,20.972895
0.6576129,0.5683086,0.09367477,0.3677158,15.44398
0.26520237,0.24398965,0.97301054,0.39309773,16.730827
0.8920466,0.6311386,0.7948113,0.5026371,20.972372
0.5769039,0.49251768,0.19524299,0.7224521,14.355087
0.28077236,0.024315966,0.6454723,0.17711067,11.705158
0.9404586,0.9539286,0.91486436,0.3701587,19.697062
0.015456617,0.92831856,0.42818415,0.96665484,19.421972
0.96361995,0.85300946,0.29444888,0.38509774,16.035587
0.8511367,0.316922,0.16949275,0.55680126,15.766865
0.9361548,0.6960298,0.57006115,0.09717649,17.396484
0.6150072,0.99005383,0.14008401,0.5183297,17.310839
0.8773731,0.7407686,0.69701576,0.7024841,20.578928
0.35949114,0.29359186,0.80936116,0.8101134,17.172453
0.86707234,0.91324055,0.5113424,0.5015163,17.973139
0.7982952,0.6499639,0.7019669,0.7957927,21.52895
0.89000535,0.33799517,0.37558296,0.09398194,14.243152
0.57828015,0.035942275,0.46559802,0.5426446,14.423448
0.28654125,0.59083325,0.03050025,0.03734819,10.181638
0.82260054,0.36019063,0.12706052,0.52224326,12.651519
0.76999354,0.21582103,0.6228905,0.085347466,12.72895
0.05168172,0.5313546,0.5406351,0.6374299,17.719637
0.7260913,0.9758521,0.5163003,0.32295647,16.320467
0.7951862,0.27083224,0.43897143,0.07845638,13.323963
0.025350744,0.9626484,0.8359801,0.69597423,20.289835
0.40895295,0.17329432,0.15643704,0.2502429,9.948756
0.54922664,0.7145959,0.6601974,0.2799339,16.671364
0.9548653,0.7378969,0.5543541,0.61172074,20.196194
0.41960007,0.24773099,0.35597268,0.7578461,15.589164
0.014393489,0.11607264,0.04600264,0.040728804,10.85026
0.8554606,0.70365787,0.47417384,0.09783416,13.670288
0.49161586,0.47347176,0.17320187,0.43385166,14.896583
0.39850473,0.6158501,0.6350936,0.04530401,13.933405
0.37461263,0.6258599,0.5031363,0.85648984,19.053818
0.6586936,0.16293442,0.07056875,0.6424193,14.276485
0.02651131,0.58577555,0.94023025,0.5754742,16.843477
0.3881699,0.6432882,0.45825288,0.5456168,16.531624
0.9414648,0.38610265,0.9611906,0.9053506,19.74896
0.19579114,0.0693613,0.100778,0.018221825,9.081287
0.09444296,0.68300676,0.07118865,0.31897563,12.583311
0.84487534,0.023271935,0.8144685,0.28185478,16.029844
0.11816483,0.6967372,0.62894285,0.87747204,19.609108
0.73507106,0.8034809,0.28203458,0.17743954,15.261567
0.75061476,0.80683476,0.99050516,0.41261768,20.055504
0.3720181,0.77641296,0.34080353,0.93075734,17.6292
0.85841274,0.42899403,0.75087106,0.7545429,18.860605
0.103123866,0.9025529,0.50525236,0.82645744,19.591324
0.3200496,0.89552325,0.38920167,0.010837652,14.989612
0.905382,0.091286674,0.31931365,0.950062,17.140121
0.9506071,0.57343787,0.6318372,0.44844553,18.041435
0.29321077,0.32866454,0.67251843,0.75237453,16.166515
0.79157907,0.78961813,0.0912061,0.4944203,17.12852
0.05755876,0.5495289,0.4415305,0.8877042,17.570086
0.350915,0.11706702,0.14299168,0.7615106,15.746253
0.61821806,0.10112268,0.0841068,0.70096916,13.007171
0.072763,0.8218601,0.7062422,0.081348784,14.147025
0.08483771,0.98663956,0.3742708,0.37064216,15.527724
0.8127996,0.9472486,0.9860011,0.7533782,23.324158
0.3762596,0.08350071,0.77714694,0.55840427,15.483274
0.42422202,0.90635437,0.11119748,0.49262512,14.53686
0.011353645,0.46866065,0.056303274,0.11881792,10.784534
0.11752625,0.6492103,0.7460449,0.5833688,17.900991
0.96217257,0.37487057,0.2857121,0.8685991,17.10988
0.22359584,0.96322256,0.012154475,0.96987885,18.759167
0.043159913,0.89114314,0.5277011,0.9929648,20.460545
0.07379656,0.5538543,0.96930254,0.5230979,17.556204
0.62939864,0.6957487,0.45454106,0.62755805,17.788843
0.5843143,0.90115803,0.04544638,0.28096318,14.824644
0.9504115,0.8902638,0.45565677,0.6201326,18.549665
0.27738118,0.18812115,0.46369842,0.35335222,13.053265
0.58365613,0.077734634,0.9743948,0.98621076,17.698761
0.6981617,0.5360964,0.3095276,0.81379503,18.545734
0.6847312,0.16261694,0.9109272,0.82253724,17.633028
0.9497999,0.7257195,0.6134152,0.41824305,19.832232
0.93272847,0.8660639,0.04521867,0.026366975,13.316616
0.37646335,0.8105533,0.98727614,0.1504169,16.99882
0.5941307,0.38089085,0.9699144,0.8421189,19.580507
0.8383287,0.46869317,0.4148195,0.27340707,14.816259
0.056375496,0.8647224,0.812901,0.99971765,22.109358
0.9966368,0.5554317,0.7689874,0.94476575,19.23736
0.8496474,0.2473481,0.45054415,0.12915942,14.842978
0.954051,0.60617465,0.2286428,0.67170066,17.798294
0.61812824,0.35816273,0.11355759,0.6715732,13.677241
0.5203077,0.77231836,0.5201635,0.8521815,18.288792
0.5519068,0.560938,0.8766536,0.40348285,19.380032
0.13401523,0.028782677,0.75513726,0.62030953,14.069213
0.70407975,0.21296416,0.13637148,0.014544666,9.579871
0.35058755,0.58991766,0.39224404,0.43747494,16.134817
0.9041587,0.34825546,0.5139895,0.783653,18.715916
0.3965428,0.6220867,0.8623637,0.94952065,19.748991
0.14707348,0.92658764,0.4921163,0.2582444,15.374244
0.45913577,0.98003256,0.49261808,0.32875162,15.707385
0.63340086,0.24014562,0.07586333,0.12887973,12.114202
0.12804584,0.15190269,0.13882717,0.64087474,13.592504
0.18188009,0.34566727,0.8967884,0.47396165,16.788027
0.6675577,0.17231987,0.19228902,0.040868618,11.26027
0.16893506,0.27859035,0.17701049,0.08870254,11.799623
0.120635875,0.46077877,0.20633371,0.36426985,12.421997
0.50341725,0.6903948,0.03931214,0.7994104,15.08298
0.62790036,0.081759036,0.8735786,0.9208724,19.553339
0.06107796,0.27687764,0.8062013,0.74825966,18.897356
0.18452102,0.20934932,0.3704721,0.484523,12.135699
0.6182548,0.36891365,0.46253473,0.7474709,16.766455
0.0366832,0.25243694,0.7133496,0.8952068,17.474232
0.51167744,0.5321135,0.10717201,0.44741237,13.829916
0.5326173,0.2424705,0.26924324,0.37728417,12.195352
0.020071197,0.32207915,0.21144801,0.32749736,12.492612
0.11976213,0.8905273,0.59359246,0.6791023,20.284012
0.7891712,0.4984422,0.08692029,0.5371065,15.214655
0.5868411,0.74543947,0.43165955,0.1275803,13.761992
0.2837759,0.3630823,0.64591724,0.5707783,14.408953
0.3560967,0.9865152,0.6057748,0.2372268,16.724562
0.10178247,0.15285914,0.24595773,0.16068137,11.214539
0.18656702,0.28509516,0.1733736,0.8967654,15.42271
0.080233745,0.5245114,0.4103968,0.9823786,17.282598
0.1120389,0.3978556,0.96947044,0.8655071,18.378662
0.8170721,0.25790283,0.17088759,0.66864324,14.256961
0.929376,0.5567629,0.5716127,0.27997908,17.387869
0.7694929,0.18704374,0.32367924,0.42543644,15.14144
0.5076104,0.24240974,0.11483683,0.61062,12.184645
0.28863055,0.5812382,0.15436271,0.4811401,15.439338
0.53258944,0.051823538,0.33660427,0.13441467,11.868643
0.063374974,0.98996025,0.32235384,0.8098745,19.020576
0.25464067,0.6815027,0.76022786,0.59563875,16.522778
0.47157618,0.41184092,0.34886828,0.92952913,16.017784
0.8306194,0.9650269,0.124297224,0.73086745,18.209688
0.9383405,0.18123306,0.06649627,0.74112064,15.821943
0.57447314,0.84182876,0.13977237,0.7952673,19.357561
0.20162731,0.16365594,0.1642658,0.8145747,14.674362
0.6651972,0.52306545,0.35883048,0.87720054,17.902527
0.39244512,0.8165994,0.4391349,0.37694442,14.874705
0.46267977,0.30137786,0.7476094,0.5027204,17.57792
0.23221269,0.8995746,0.38389122,0.5435529,15.511004
0.9064721,0.624238,0.11689804,0.93983215,20.06832
0.6277081,0.33490562,0.13927208,0.7940252,15.398873
0.6200728,0.5334611,0.8938926,0.7885972,21.78569
0.15167488,0.31172207,0.24848914,0.7439463,15.086967
0.033532433,0.56988966,0.7624587,0.8767656,18.316048
0.34208176,0.8212573,0.110631734,0.8464523,16.42375
0.12748866,0.39728728,0.7972954,0.14991742,13.516688
0.2292514,0.72225255,0.72003657,0.6411476,18.45215
0.69394845,0.54272443,0.25179905,0.345696,14.663071
0.18159771,0.90845054,0.5833918,0.40085143,15.906852
0.4620058,0.9472833,0.1533514,0.58622986,16.293655
0.5058887,0.61145425,0.018110184,0.8721239,16.365355
0.9321183,0.56513315,0.6966508,0.92249936,18.946404
0.7072386,0.15253904,0.57628834,0.606715,16.711773
0.42413068,0.73644423,0.934367,0.9255685,20.463694
0.45083937,0.113238044,0.9848412,0.83889806,17.609732
0.12466268,0.9208419,0.86989635,0.51883805,16.832521
0.59127545,0.3990027,0.054761637,0.33519724,10.860936
0.80285347,0.004632023,0.33349916,0.39816868,12.128149
0.5373956,0.9198556,0.346346,0.3469532,15.396037
0.73750126,0.45221794,0.22460483,0.45243952,16.812296
0.14085703,0.17638698,0.4983678,0.41892546,12.607631
0.9148459,0.3623939,0.58058834,0.6322643,18.068392
0.013094457,0.6635374,0.17803596,0.9610703,16.750517
0.14866273,0.41462412,0.08534967,0.9968743,15.643543
0.502195,0.595385,0.067076474,0.7499605,15.645827
0.2099056,0.8980543,0.20513964,0.19068772,12.196465
0.03654967,0.47206694,0.56484115,0.06570864,13.667302
0.7755276,0.45328882,0.5243903,0.44076276,18.213463
0.40076306,0.55964035,0.15524025,0.18192813,10.625962
0.86178565,0.94611543,0.3733093,0.27074468,15.836804
0.6439995,0.40873417,0.025386356,0.15615259,11.350972
0.71597224,0.6589239,0.027095992,0.22197217,12.286387
0.2310748,0.67189276,0.019710537,0.10410858,11.609965
0.7999161,0.17854466,0.6527461,0.23818278,14.078482
0.099441394,0.24317218,0.7222669,0.85569644,19.181583
0.83021986,0.39718354,0.66808516,0.20498429,16.840273
0.29314774,0.89633584,0.013001923,0.08550853,12.255422
0.20788625,0.026532203,0.18143544,0.58304155,13.1622
0.42142454,0.8926717,0.81744355,0.34181735,19.078983
0.25942343,0.3796924,0.59029496,0.26806363,13.292949
0.6241489,0.40941164,0.5520472,0.43612653,15.070871
0.29446575,0.9484533,0.7636058,0.14011317,16.414062
0.868468,0.4874312,0.89455223,0.79985523,21.688658
0.42521352,0.022469308,0.26867735,0.5416342,13.097771
0.6334782,0.2578877,0.13935608,0.83493024,14.061351
0.9844022,0.5256902,0.17167929,0.27230734,13.745383
0.018390676,0.91429883,0.117751084,0.57651645,14.686249
0.2740552,0.554178,0.6514204,0.8297418,18.198765
0.20642127,0.010995829,0.13688563,0.90001863,15.720329
0.8738901,0.5974131,0.60051686,0.6650367,17.61814
0.17537127,0.91441196,0.41877052,0.38313854,16.082035
0.5189177,0.046965968,0.16628337,0.7380336,15.493349
0.08279867,0.6031521,0.24534911,0.3892956,15.494973
0.28869373,0.35567272,0.7190459,0.2971217,14.262335
0.56640464,0.4760504,0.66367114,0.93682975,20.03418
0.7325721,0.21494038,0.031183135,0.26226404,12.356738
0.59507793,0.051425815,0.49636623,0.5968428,15.249307
0.3342439,0.77091223,0.10659825,0.07513778,11.971354
0.72818875,0.49549133,0.6884024,0.43482733,17.653482
0.24640204,0.81910235,0.7994159,0.6946965,16.648628
